,Locality,Postcode,Fire_Activity_Occurrences
323,BEULAH,3395,4
324,KINNABULLA,3483,0
325,NANGANA,3781,0
326,NEILBOROUGH,3570,0
327,MARYKNOLL,3812,0
328,WHIPSTICK,3556,0
329,AIRLY,3851,0
330,LAMPLOUGH,3352,0
331,BELLBIRD CREEK,3889,0
332,GOUGHS BAY,3723,0
333,MYRTLEFORD,3736,0
334,BUCKLAND,3740,0
335,MOUNT BUFFALO,3740,0
336,MALLACOOTA,3892,0
337,BARWON DOWNS,3243,0
338,LALBERT,3542,0
339,APSLEY,3319,0
340,SIDONIA,3444,0
341,LANGLEY,3444,0
342,BILLABONG,3858,0
343,HOWITT PLAINS,3858,0
344,MONTROSE,3765,0
345,YELLINGBO,3139,0
346,MOOROOLBARK,3138,0
347,SEVILLE EAST,3139,0
348,WOORI YALLOCK,3139,0
349,SOUTHERN CROSS,3283,0
350,CALIFORNIA GULLY,3556,0
351,HIGHETT,3190,0
352,CLARINDA,3169,0
353,INVERMAY PARK,3350,0
354,CORACK EAST,3480,0
355,CADELLO,3442,0
356,RINGWOOD NORTH,3134,0
357,MONTGOMERY,3851,0
358,MARIBYRNONG,3032,0
359,CAMPBELLFIELD,3061,0
360,DOCKLANDS,3008,0
361,ROCKY POINT,3377,0
362,NUTFIELD,3099,0
363,PAYNESVILLE,3880,0
364,ANGLESEA,3230,3
365,DUMOSA,3527,2
366,MIGA LAKE,3401,0
367,NORADJUHA,3401,1
368,KALPIENUNG,3529,0
369,TALLAROOK,3659,0
370,GLENORCHY,3385,5
371,SAILORS HILL,3461,0
372,MONT ALBERT,3127,0
373,CLIFTON HILL,3068,0
374,RIPPLESIDE,3215,0
375,NOBLE PARK NORTH,3174,0
376,GEELONG,3220,0
377,CAULFIELD SOUTH,3162,0
378,RICHMOND,3121,0
379,TORWOOD,3821,0
380,MORDIALLOC,3195,0
381,PANTON HILL,3759,0
382,CORAL BANK,3691,0
383,BARNADOWN,3557,0
384,MARIONVALE,3634,0
385,COLBROOK,3342,0
386,KILLARA,3691,0
387,NOTTING HILL,3168,0
388,YANGOURA,3858,0
389,CHILTERN,3683,0
390,GOLDEN GULLY,3555,0
391,WARRAGUL WEST,3821,0
392,MOGGS CREEK,3231,0
393,PARADISE BEACH,3851,0
394,BLACK ROCK,3193,0
395,NORTH GEELONG,3215,0
396,FAIRHAVEN,3231,0
397,EASTERN VIEW,3231,0
398,BRAYBROOK,3019,0
399,WARRANDYTE SOUTH,3134,0
400,LEIGH CREEK,3352,0
401,GERMANTOWN,3741,0
402,EMU CREEK,3551,0
403,MONOMEITH,3984,0
404,VERVALE,3814,0
405,THORPDALE,3835,0
406,ABERFELDY,3825,0
407,NAREEWILLOCK,3525,0
408,DRYSDALE,3222,0
409,ST KILDA EAST,3183,0
410,TENNYSON,3572,0
411,THE PATCH,3792,0
412,GLADSTONE PARK,3043,0
413,MAIDSTONE,3012,0
414,BREAKWATER,3219,0
415,ST ALBANS PARK,3219,0
416,NEWLANDS ARM,3875,0
417,BELGRAVE,3160,0
418,DOVETON,3177,0
419,CREEK JUNCTION,3669,0
420,LINDENOW,3865,0
421,PAARATTE,3268,0
422,EXFORD,3338,0
423,GOORAM,3666,0
424,SMITHS BEACH,3922,0
425,TANTARABOO,3764,0
426,TITTYBONG,3542,1
427,BAROMI,3871,0
428,BAKERY HILL,3350,0
429,WERRIBEE,3030,0
430,TARNEIT,3029,0
431,CRAIGIEBURN,3064,0
432,CHADSTONE,3148,0
