,Locality,Postcode,Fire_Activity_Occurrences
880,BOWSER,3678,0
881,LUCKNOW,3875,0
882,BAXTER,3911,0
883,SAILORS FALLS,3461,0
884,WALDARA,3678,0
885,ORRVALE,3631,1
886,YANGERY,3283,0
887,ERICA,3825,0
888,OXLEY FLATS,3678,0
889,HAZELWOOD SOUTH,3840,0
890,WONGA,3960,0
891,CRANBOURNE WEST,3977,0
892,COBAW,3442,0
893,MEPUNGA EAST,3277,0
894,DON VALLEY,3139,0
895,GLENDARUEL,3363,0
896,CHEROKEE,3434,0
897,MERRIANG,3737,0
898,MERBEIN WEST,3505,0
899,MILLGROVE,3799,0
900,DOCTORS FLAT,3895,0
901,WARATAH BAY,3959,0
902,WOODFORD,3281,0
903,CROSSOVER,3821,0
904,TOOLAMBA WEST,3614,0
905,WOORINEN NORTH,3589,1
906,VENUS BAY,3956,0
907,GRAHAMVALE,3631,1
908,THORPDALE SOUTH,3824,0
909,THE HONEYSUCKLES,3851,0
910,JEERALANG JUNCTION,3840,0
911,HINNOMUNJIE,3898,0
912,TULKARA,3384,0
913,TEESDALE,3328,0
914,CLAYTON SOUTH,3169,0
915,SHANNONVALE,3898,0
916,HALLAM,3803,0
917,YARPTURK,3283,0
918,RAVENHALL,3023,0
919,BLACKBURN,3130,0
920,MAINTONGOON,3714,0
921,MOLYULLAH,3673,0
922,SELBY,3159,0
923,CRIB POINT,3919,0
924,BULLEEN,3105,0
925,LAKE TYERS BEACH,3909,0
926,MOUNT ALFRED,3691,0
927,WEST MELBOURNE,3003,0
928,YARRAGON,3823,0
929,GLENMAGGIE,3858,0
930,TAHARA,3301,0
931,MORGIANA,3301,0
932,TARRENLEA,3315,0
933,HAMPTON,3188,0
934,WILD DOG VALLEY,3953,0
935,MOUNT MAJOR,3646,0
936,NEWLYN NORTH,3364,0
937,STRATHTULLOH,3338,0
938,MELTON SOUTH,3338,0
939,KEALBA,3021,0
940,FAWKNER,3060,0
941,HALLSTON,3953,0
942,HALLS GAP,3381,0
943,ZEERUST,3634,0
944,CASTLE CREEK,3691,0
945,BROMLEY,3472,0
946,BEREMBOKE,3342,0
947,LITTLE RIVER,3211,3
948,SIMSON,3465,0
949,MOONLIGHT FLAT,3465,0
950,MOUNT PROSPECT,3364,0
951,EDI,3678,0
952,VIEWBANK,3084,0
953,NARRE WARREN EAST,3804,0
954,THE BASIN,3154,0
955,VITE VITE NORTH,3325,1
956,BURNSIDE,3023,0
957,MURNUNGIN,3544,0
958,MEATIAN,3585,0
959,NINYEUNOOK,3527,2
960,NORONG,3682,0
961,UNDERA,3629,0
962,TOWONG UPPER,3707,0
963,CARWARP,3494,0
964,MINHAMITE,3287,0
965,WATTLE FLAT,3352,0
966,MINJAH,3276,1
967,POINT WILSON,3212,0
968,PAKENHAM,3810,0
969,NEERIM SOUTH,3831,0
970,DALMORE,3981,0
971,MCKENZIE HILL,3451,0
972,MOUNT FRANKLIN,3461,0
973,WANDIN EAST,3139,0
974,WARRANDYTE,3113,0
975,WANDIN NORTH,3139,0
976,CANNONS CREEK,3977,0
977,GNOTUK,3260,0
978,ANTWERP,3414,0
979,DINGLEY VILLAGE,3172,0
980,DIMBOOLA,3414,4
981,JEPARIT,3423,8
982,SELWYN,3737,0
983,MOUNT TOOLEBEWONG,3777,0
984,BOOLARONG,3960,0
985,LORQUON,3418,0
986,NORTH WARRANDYTE,3113,0
987,BATHUMI,3730,0
988,GAFFNEYS CREEK,3723,0
989,BIG HILL,3555,0
990,MOSSIFACE,3885,0
991,BELLS BEACH,3228,0
992,ALTONA NORTH,3025,0
993,TRUGANINA,3029,0
994,BADGER CREEK,3777,0
995,SUNBURY,3429,0
996,ST ALBANS,3021,0
997,EAST BAIRNSDALE,3875,0
998,DAYLESFORD,3460,0
999,MUCKLEFORD,3451,0
1000,ALEXANDRA,3714,0
1001,THORNTON,3712,0
1002,KALORAMA,3766,0
1003,WOORARRA WEST,3960,0
1004,COWLEYS CREEK,3268,0
1005,PENNYROYAL,3235,0
1006,WANNON,3301,0
1007,BROOMFIELD,3364,0
1008,BOWMANS FOREST,3735,0
1009,JANCOURT,3266,0
1010,OLINDA,3788,0
1011,YELTA,3505,0
1012,SWAN HILL,3585,0
1013,WHOROULY EAST,3735,0
1014,MERBEIN,3505,0
1015,UPPER FERNTREE GULLY,3156,0
1016,UPWEY,3158,0
1017,LAKE LONSDALE,3381,0
1018,BERRINGA,3351,0
1019,ELINGAMITE NORTH,3266,0
1020,PELLUEBLA,3727,0
1021,NYAH WEST,3595,0
1022,APPIN,3579,0
1023,MOUNT BOLTON,3352,0
1024,OMEO VALLEY,3888,0
1025,ELEVATED PLAINS,3461,0
1026,MANDURANG,3551,0
1027,MOUNT BECKWORTH,3363,0
1028,HEPBURN,3461,0
1029,MOLOGA,3575,0
1030,FLAMINGO BEACH,3851,0
1031,DOOKIE,3646,0
1032,ROKEBY,3821,0
1033,PURNIM WEST,3278,0
1034,MOUNT DANDENONG,3767,0
1035,CALROSSIE,3971,0
1036,GRANITE ROCK,3875,0
1037,NICHOLSON,3882,0
1038,SARSFIELD,3875,0
1039,LENEVA,3691,0
1040,MURRAY-SUNSET,3490,0
1041,OUYEN,3490,1
1042,HATTAH,3501,3
1043,HAWKESDALE,3287,0
1044,CARAMUT,3274,0
1045,RUBICON,3712,0
1046,BONNIE DOON,3720,0
1047,BUNGAREE,3352,1
1048,NIRRANDA,3268,0
1049,YUNDOOL,3727,0
1050,WINLATON,3585,0
1051,MINMINDIE,3537,0
1052,LAKE EPPALOCK,3551,0
1053,CAPE SCHANCK,3939,0
1054,BORALMA,3682,0
1055,MOOROOPNA,3629,0
1056,WAYGARA,3888,0
1057,DHURRINGILE,3610,0
1058,ELLASWOOD,3875,0
1059,EAST WANGARATTA,3678,0
1060,KYNETON SOUTH,3444,0
1061,LORNE,3232,0
1062,STACEYS BRIDGE,3971,0
1063,CASTERTON,3311,5
1064,SANDFORD,3312,0
1065,LAKE BOLAC,3351,6
1066,SIMPSON,3266,0
1067,NATTE YALLOCK,3465,0
1068,BUFFALO,3958,0
1069,GLENBURN,3717,0
1070,WILLUNG,3847,0
1071,STEWARTON,3725,0
1072,MORANDING,3764,0
1073,YEO,3249,0
1074,WELSHMANS REEF,3462,0
1075,GOWER,3451,0
1076,DROUIN,3818,0
1077,BERRIMAL,3518,0
1078,WAAIA,3637,0
1079,MIA MIA,3444,0
1080,YARCK,3719,0
1081,WYUNA,3620,0
1082,LANDSBOROUGH,3384,0
1083,MITCHELL PARK,3352,0
1084,MYRNIONG,3341,0
1085,BLACKWOOD,3458,0
1086,COIMADAI,3340,0
1087,CUDGEE,3265,0
1088,HOMEBUSH,3465,0
1089,BULLENGAROOK,3437,0
1090,MARSHALL,3216,0
1091,HAVEN,3401,0
1092,LOWER NORTON,3401,0
1093,TURTONS CREEK,3960,0
1094,NUG NUG,3737,0
1095,GOWANFORD,3544,0
1096,TARRENGOWER,3463,0
1097,ALTONA,3018,0
1098,BUSHFIELD,3281,0
1099,RATHSCAR,3465,0
1100,BOOLARRA,3870,0
1101,LLANELLY,3551,0
1102,CURDIEVALE,3268,0
1103,CALLIGNEE,3844,0
1104,WANGOOM,3279,0
1105,OCEAN GRANGE,3880,0
1106,TYERS,3844,0
1107,STONYFORD,3260,0
1108,CARPENDEIT,3260,0
1109,TAMBO CROSSING,3893,0
1110,TARADALE,3447,0
1111,SWANWATER,3477,0
1112,GUYS FOREST,3709,1
1113,BRIMIN,3685,0
1114,GROVEDALE,3216,0
1115,BUNDALONG,3730,0
1116,BOORHAMAN NORTH,3685,0
1117,ESMOND,3730,0
1118,ALLAMBEE SOUTH,3871,0
1119,LANGWARRIN SOUTH,3911,0
1120,BOXWOOD,3725,0
1121,NORVAL,3377,0
1122,MANOR LAKES,3024,0
1123,WOORINEN SOUTH,3588,1
1124,KATANDRA WEST,3634,0
1125,DOCKERS PLAINS,3678,0
1126,COBRICO,3266,0
1127,POMBORNEIT EAST,3249,0
1128,DARRAWEIT GUIM,3756,1
1129,KEELY,3568,0
1130,HOLLANDS LANDING,3862,0
1131,BINGO MUNJIE,3898,0
1132,DRUMANURE,3636,0
1133,NIRRANDA EAST,3268,0
1134,BOONAH,3235,0
1135,SHELLEY,3701,8
1136,WATERHOLES,3875,0
1137,HILGAY,3315,0
1138,CAMPBELLS CREEK,3451,0
1139,KNEBSWORTH,3286,0
1140,DELATITE,3723,0
1141,NEERIM NORTH,3821,0
1142,KOETONG,3704,8
1143,MERRIMU,3340,0
1144,BATESFORD,3213,0
1145,GHERINGHAP,3331,0
1146,MOORABOOL,3213,0
1147,SUTHERLANDS CREEK,3331,0
1148,BANNOCKBURN,3331,0
1149,RUSSELLS BRIDGE,3331,0
1150,GLADYSDALE,3797,0
1151,SILVAN,3795,0
1152,POOWONG,3988,0
1153,WALKERVILLE NORTH,3956,0
1154,CARDROSS,3496,0
1155,LOCKWOOD SOUTH,3551,0
1156,COTTLES BRIDGE,3099,0
1157,SPRINGBANK,3352,0
1158,CHILTERN VALLEY,3683,0
1159,LAEN EAST,3480,0
1160,MUCKLEFORD SOUTH,3462,0
1161,WYUNA EAST,3620,0
1162,BET BET,3472,0
1163,BOSTOCKS CREEK,3260,0
1164,NYERIMILANG,3909,0
1165,SEATON,3858,0
1166,BARONGAROOK WEST,3249,0
1167,TIMOR WEST,3465,0
1168,GORAE WEST,3305,0
1169,LITTLE HAMPTON,3458,0
1170,PORT ALBERT,3971,0
1171,LANCASTER,3620,0
1172,MACORNA NORTH,3568,0
1173,BENTLEIGH,3204,0
1174,RIPPLEBROOK,3818,0
1175,LILYDALE,3140,0
1176,DUNNEWORTHY,3377,0
1177,WINJALLOK,3380,0
1178,TAWONGA SOUTH,3698,0
1179,WEDDERBURN JUNCTION,3518,0
1180,BURRAMINE SOUTH,3730,0
1181,COOMA,3616,0
1182,DUNNSTOWN,3352,0
1183,BUNINYONG,3357,0
1184,LEONARDS HILL,3461,0
1185,SIMPSONS CREEK,3888,0
1186,WHEATSHEAF,3461,0
1187,VAUGHAN,3451,0
1188,HEYWOOD,3304,1
1189,FRENCHMANS,3384,0
1190,GLEN WILLS,3898,0
1191,WANDONG,3758,0
1192,GRETA,3675,0
1193,CARRUM DOWNS,3201,1
1194,TYRENDARRA EAST,3285,0
1195,CASTLEMAINE,3450,0
1196,BROADLANDS,3875,0
1197,VESPER,3833,0
1198,MUSK VALE,3461,0
1199,LETHBRIDGE,3332,0
1200,SEVILLE,3139,0
1201,TOLMIE,3723,0
1202,WENDOUREE,3355,0
1203,DERGHOLM,3312,6
1204,BRADFORD,3463,0
1205,LAH,3393,0
1206,WANGANDARY,3678,0
1207,BEACONSFIELD,3807,0
1208,KERNOT,3979,0
1209,KROWERA,3945,0
1210,THORNBURY,3071,0
1211,LAKE GOLDSMITH,3373,1
1212,ST ARNAUD,3478,1
1213,POOTILLA,3352,0
1214,WOORINEN,3589,1
1215,KERRIE,3434,0
1216,MOUNT ROWAN,3352,0
1217,DEER PARK,3023,0
1218,SULKY,3352,0
1219,WALLAGARAUGH,3891,0
1220,MERRIANG SOUTH,3737,0
1221,DUMBALK NORTH,3956,0
1222,JUMBUK,3869,0
1223,MOOROODUC,3933,0
1224,FRAMLINGHAM,3265,0
1225,NOORAT,3265,0
1226,HAZELWOOD,3840,0
1227,CASTLE DONNINGTON,3585,0
1228,LADYS PASS,3523,0
1229,MOUNT HOOGHLY,3472,0
1230,KERRISDALE,3660,0
1231,BLACKWARRY,3844,1
1232,KOORNALLA,3844,0
1233,ILLAWARRA,3381,0
1234,STRATHLEA,3364,0
1235,STEIGLITZ,3331,0
1236,MIRALIE,3596,0
1237,WOOD WOOD,3596,0
1238,LANCE CREEK,3995,0
1239,EAST GEELONG,3219,0
1240,PICOLA WEST,3639,2
1241,UPTON HILL,3664,0
1242,CHEWTON,3451,0
1243,TYABB,3913,0
1244,KURRACA WEST,3518,0
1245,BULN BULN EAST,3821,0
1246,POOWONG NORTH,3988,0
1247,KORONG VALE,3520,0
1248,TOORADIN,3980,0
1249,BRIM,3391,2
1250,BAYLES,3981,0
1251,DROPMORE,3660,0
1252,MYSTIC PARK,3579,0
1253,PENTAL ISLAND,3586,0
1254,CULLEN,3568,0
1255,BULLIOH,3700,0
1256,BOLANGUM,3381,0
1257,MACCLESFIELD,3782,0
1258,HAPPY VALLEY,3360,0
1259,BUSHY PARK,3860,0
1260,BULLAROOK,3352,0
1261,POMBORNEIT,3260,0
1262,BERRIWILLOCK,3531,0
1263,CARGERIE,3334,0
1264,HUON CREEK,3691,0
1265,EBDEN,3691,0
1266,ASCOT,3364,0
1267,STRANGWAYS,3461,0
1268,UPPER RYANS CREEK,3673,0
1269,MORRL MORRL,3381,0
1270,MOUNT BRUNO,3675,0
1271,SHEPPARTON NORTH,3631,0
1272,PAKENHAM SOUTH,3810,1
1273,BUNKERS HILL,3352,0
1274,COOMOORA,3461,0
1275,JACOB CREEK,3825,0
1276,KIALLA WEST,3631,0
1277,TATURA EAST,3616,0
1278,MOORA,3612,0
1279,NEWBOROUGH,3825,0
1280,HOWQUA,3723,0
1281,PIRIES,3723,0
1282,DAISY HILL,3465,0
1283,MIDDLE CREEK,3375,0
1284,BIMBOURIE,3533,0
1285,WANGARATTA,3676,0
1286,GARFIELD,3814,0
1287,NEW GISBORNE,3438,0
1288,CALULU,3875,0
1289,DINNER PLAIN,3898,0
1290,FERNDALE,3821,0
1291,MOGLONEMBY,3666,0
1292,DURDIDWARRAH,3342,0
1293,MCKENZIE CREEK,3401,0
1294,PLENTY,3090,0
1295,YARRAMBAT,3091,0
1296,STRATHALLAN,3622,0
1297,DRY DIGGINGS,3461,0
1298,KALIMNA,3909,0
1299,WAARRE,3269,0
1300,BARRYS REEF,3458,0
1301,RESEARCH,3095,0
1302,MOUNT TASSIE,3844,0
1303,NORTH BLACKWOOD,3458,0
1304,SORRENTO,3943,0
1305,RHEOLA,3517,0
1306,GOLDSBOROUGH,3472,0
1307,FREEBURGH,3741,0
1308,YINNAR,3869,0
1309,TAHARA BRIDGE,3315,0
1310,WATTLE CREEK,3384,0
1311,GLENLUCE,3451,0
1312,DERBY,3516,0
1313,TABOR,3289,0
1314,RIACHELLA,3385,0
1315,CALLIGNEE SOUTH,3844,0
1316,FAIRLEY,3579,0
1317,ST GERMAINS,3620,0
1318,HIAMDALE,3847,0
1319,BROKEN CREEK,3673,2
1320,LANGI LOGAN,3377,0
1321,LIMA,3673,0
1322,RAYMOND ISLAND,3880,0
1323,MANNS BEACH,3971,0
1324,MEPUNGA WEST,3277,0
1325,KOTTA,3565,0
1326,HAWKHURST,3862,0
1327,SKYE,3977,0
1328,WALLACE,3352,0
1329,MOOROOPNA NORTH WEST,3616,0
1330,GORDON,3345,0
1331,RAVENSWOOD,3453,0
1332,RATHSCAR WEST,3465,0
1333,YENDON,3352,0
1334,INVERMAY,3352,0
1335,MANDURANG SOUTH,3551,0
1336,IONA,3815,0
1337,TINAMBA,3859,0
1338,SALE,3850,0
1339,MERRICKS NORTH,3926,0
1340,YAWONG HILLS,3478,0
1341,CARDINIA,3978,0
1342,BULLARTO SOUTH,3461,0
1343,BYLANDS,3762,0
1344,TAMBO UPPER,3885,0
1345,GOLDEN BEACH,3851,0
1346,WHITELAW,3950,0
1347,BENTLEIGH EAST,3165,0
1348,TIMBOON,3268,0
1349,GLENORMISTON SOUTH,3265,0
1350,NANNEELLA,3561,0
1351,LAKE WONGAN,3373,0
1352,BAMGANIE,3333,0
1353,DUNROBIN,3312,0
1354,TRESCO,3583,1
1355,MEREDITH,3333,3
1356,WALWA,3709,1
1357,LYONVILLE,3461,0
1358,NAVIGATORS,3352,0
1359,CHURCHILL,3842,0
1360,BALLAN,3342,0
1361,CURDIES RIVER,3268,0
1362,MOUNT BULLER,3723,0
1363,LOCH,3945,0
1364,GLENLOGIE,3469,0
1365,LILLIPUT,3682,0
1366,BOWEYA,3675,0
1367,KOOROOCHEANG,3364,0
1368,BAYINDEEN,3375,0
1369,CRESWICK NORTH,3363,0
1370,PORT WELSHPOOL,3965,0
1371,MONBULK,3793,0
1372,TOURELLO,3363,0
1373,BUDGERUM EAST,3579,0
1374,KANGAROO FLAT,3555,0
1375,PINE VIEW,3579,0
1376,RANCEBY,3951,0
1377,HERNES OAK,3825,0
1378,MOUNT ELIZA,3930,0
1379,ICY CREEK,3833,0
1380,YEUNGROON EAST,3525,0
1381,YABBA SOUTH,3646,0
1382,MARNOO EAST,3477,0
1383,KURRACA,3518,0
1384,BALNARRING,3926,0
1385,HASTINGS,3915,0
1386,OAKVALE,3540,0
1387,TAMBORITHA,3858,0
1388,GOBUR,3719,0
1389,FAIRY DELL,3875,0
1390,MILAWA,3678,0
1391,GRE GRE,3477,0
1392,COWWARR,3857,0
1393,JEERALANG,3840,0
1394,GRETA SOUTH,3675,0
1395,ENSAY NORTH,3895,0
1396,BARONGAROOK,3249,0
1397,MANGALORE,3663,0
1398,AVENEL,3664,0
1399,TALLANGATTA VALLEY,3701,0
1400,LUCYVALE,3691,2
1401,MUCKATAH,3644,0
1402,PARKVILLE,3052,0
1403,WERONA,3364,0
1404,MOLESWORTH,3718,0
1405,GHIN GHIN,3717,0
1406,BARRAMUNGA,3249,0
1407,LACEBY,3678,0
1408,GIRGARRE,3624,0
1409,MYALL,3533,0
1410,PANMURE,3265,0
1411,ERCILDOUNE,3352,1
1412,SWAN MARSH,3249,0
1413,ORMOND,3204,0
1414,KURTING,3517,0
1415,KIALLA EAST,3631,0
1416,OMBERSLEY,3241,1
1417,KERANG,3579,0
1418,AXE CREEK,3551,0
1419,KANGAROO GROUND,3097,0
1420,MOORILIM,3610,0
1421,ENFIELD,3352,0
1422,BALLIANG,3340,0
1423,NAPOLEONS,3352,0
1424,DURHAM LEAD,3352,0
1425,BENWERRIN,3235,0
1426,CAULFIELD NORTH,3161,0
1427,WESTMERE,3351,0
1428,TATURA,3616,0
1429,TOWAN,3596,0
1430,TAGGERTY,3714,0
1431,NYRRABY,3585,0
1432,CRANBOURNE SOUTH,3977,0
1433,BUXTON,3711,0
1434,BARINGHUP,3463,0
1435,CAVEAT,3660,0
1436,TOTTINGTON,3477,0
1437,HENTY,3312,0
1438,ANGLERS REST,3898,0
1439,WOOSANG,3518,0
1440,THREE BRIDGES,3797,0
1441,ROCHESTER,3561,0
1442,ST HELENS,3285,0
1443,NEWSTEAD,3462,0
1444,SUGARLOAF CREEK,3658,0
1445,FYANS CREEK,3381,1
1446,ARNOLD WEST,3551,0
1447,BYRNESIDE,3617,0
1448,HOWES CREEK,3723,0
1449,WARANGA,3612,0
1450,NARINGAL,3277,0
1451,CAMBERWELL,3124,0
1452,ROWVILLE,3178,0
1453,MERNDA,3754,0
1454,DOREEN,3754,0
1455,YAN YEAN,3755,0
1456,KILLARNEY,3283,0
1457,POMBORNEIT NORTH,3260,0
1458,GRENVILLE,3352,1
1459,YARRAWALLA,3575,0
1460,CLIFTON SPRINGS,3222,0
1461,PORT MELBOURNE,3207,0
1462,CLYDESDALE,3461,0
1463,HEYTESBURY LOWER,3268,0
1464,CHUM CREEK,3777,0
1465,BRIMPAEN,3400,0
1466,GERMANIA,3381,0
1467,KING VALLEY,3678,0
1468,EMERALD,3782,0
1469,HORFIELD,3567,0
1470,MINERS REST,3352,0
1471,TANGAMBALANGA,3691,0
1472,CALLIGNEE NORTH,3844,0
1473,KAMAROOKA NORTH,3571,0
1474,MOUNT MARTHA,3934,0
1475,ESSENDON NORTH,3041,0
1476,SHEPPARTON EAST,3631,0
1477,HAZELWOOD NORTH,3840,0
1478,SWANPOOL,3673,0
1479,BUNBARTHA,3634,0
1480,WANDO BRIDGE,3312,0
1481,LURG,3673,0
1482,REEFTON,3799,0
1483,RAYWOOD,3570,1
1484,FALLS CREEK,3699,0
1485,TRAVANCORE,3032,0
1486,PASTORIA,3444,0
1487,MOORNGAG,3673,0
1488,TRENTHAM EAST,3458,0
1489,ENGLEFIELD,3407,0
1490,CALDERMEADE,3984,0
1491,LIPAROO,3549,0
1492,KENLEY,3597,1
1493,SPRINGFIELD,3544,0
1494,VERMONT,3133,0
1495,LERDERDERG,3458,0
1496,DERRINALLUM,3325,0
1497,GERANG GERUNG,3418,0
1498,APPIN SOUTH,3579,0
1499,GRE GRE SOUTH,3477,0
1500,MIRRANATWA,3294,15
1501,RUSHWORTH,3612,0
1502,TALLANGATTA,3700,0
1503,SPRING HILL,3444,0
1504,GLENROWAN,3675,0
1505,STONEHAVEN,3218,0
1506,STRATHMERTON,3641,0
1507,TYRENDARRA,3285,1
1508,WYELANGTA,3237,0
1509,WARROCK,3312,1
1510,QUEENSCLIFF,3225,0
1511,SWAN BAY,3225,0
1512,POINT LONSDALE,3225,0
1513,MANNERIM,3222,0
1514,BENJEROOP,3579,0
1515,FISH POINT,3585,0
1516,ARTHURS CREEK,3099,0
1517,PORCUPINE RIDGE,3461,0
1518,GLENLYON,3461,0
1519,GERRIGERRUP,3289,0
1520,CONGUPNA,3633,0
1521,WUNGHNU,3635,0
1522,CHESNEY VALE,3725,0
1523,YANDO,3537,0
1524,WYCHITELLA NORTH,3525,0
1525,SUTHERLAND,3477,0
1526,LONDRIGAN,3678,0
1527,WINTON,3673,0
1528,WARRAYURE,3301,0
1529,NIRRANDA SOUTH,3268,0
1530,KATAMATITE EAST,3649,0
1531,YOUARANG,3728,0
1532,RICH AVON EAST,3480,0
1533,MOOLERR,3477,0
1534,WANGARABELL,3891,0
1535,GLEN CREEK,3691,0
1536,ARDMONA,3629,0
1537,GLADFIELD,3575,0
1538,ARAPILES,3409,0
1539,YALLA-Y-POORA,3378,3
1540,NEWHAM,3442,0
1541,BOGONG,3699,0
1542,ULLINA,3364,0
1543,BURKES FLAT,3475,0
1544,SOUTH PURRUMBETE,3260,0
1545,WILDWOOD,3429,0
1546,MUNDOONA,3635,0
1547,BUTCHERS RIDGE,3885,0
1548,GLENLOTH EAST,3527,0
1549,TELFORD,3730,0
1550,ALLANS FLAT,3691,0
1551,KANUMBRA,3719,0
1552,GLENORMISTON NORTH,3265,0
1553,GOOROC,3477,0
1554,HARSTON,3616,0
1555,HILL END,3825,0
1556,BUDGEE BUDGEE,3862,0
1557,CUNDARE NORTH,3251,0
1558,FERNIHURST,3518,0
1559,DEEP LEAD,3381,0
1560,TIMBOON WEST,3268,0
1561,SPRINGMOUNT,3364,0
1562,LAANG,3265,0
1563,WOOTONG VALE,3315,0
1564,KILSYTH SOUTH,3137,0
1565,BEEAC,3251,0
1566,WOODSIDE,3874,0
1567,KENSINGTON,3031,0
1568,MENA PARK,3373,0
1569,MIDDLE TARWIN,3956,0
1570,EYNESBURY,3338,0
1571,MOUNT COTTRELL,3024,0
1572,MAIN RIDGE,3928,0
1573,TRENTHAM,3458,0
1574,KINGLAKE,3763,0
1575,STRATH CREEK,3658,0
1576,CARRAJUNG,3844,6
1577,WOODSTOCK WEST,3463,0
1578,VENTNOR,3922,0
1579,SOMERVILLE,3912,0
1580,KIEWA,3691,0
1581,STEELS CREEK,3775,0
1582,DROUIN SOUTH,3818,0
1583,KINGOWER,3517,0
1584,GLENMORE,3340,0
1585,FUMINA SOUTH,3825,0
1586,DENICULL CREEK,3377,0
1587,GILLUM,3858,0
1588,PANITYA,3512,0
1589,JILPANGER,3401,0
1590,THOMSON,3825,0
1591,BEAUFORT,3373,8
1592,W TREE,3885,0
1593,YARROWEYAH,3644,0
1594,GUNBOWER,3566,0
1595,LEITCHVILLE,3567,0
1596,GRANYA,3701,0
1597,THOLOGOLONG,3691,0
1598,BUNGIL,3691,0
1599,PINE MOUNTAIN,3709,0
1600,TOWONG,3707,0
1601,NEWTOWN,3220,0
1602,MOCKINYA,3401,0
1603,YUROKE,3063,0
1604,MARNOO WEST,3387,0
1605,BELMONT,3216,0
1606,BERRINGAMA,3691,2
1607,ALLANSFORD,3277,0
1608,BUNGALALLY,3401,3
1609,SOUTH GEELONG,3220,0
1610,GOWAR EAST,3477,0
1611,CARNGHAM,3351,0
1612,CATHCART,3377,0
1613,GIL GIL,3480,0
1614,PEARCEDALE,3912,0
1615,NARINGAL EAST,3277,0
1616,LITCHFIELD,3480,0
1617,ST ARNAUD NORTH,3477,0
1618,GRASS FLAT,3409,0
1619,CHRISTMAS HILLS,3775,0
1620,TERIP TERIP,3719,0
1621,FORBES,3764,0
1622,BRUCKNELL,3268,0
1623,TRAFALGAR EAST,3824,0
1624,COWA,3862,0
1625,GLENROWAN WEST,3675,0
1626,RICHMOND PLAINS,3518,0
1627,THE HEART,3851,0
1628,TRAWOOL,3660,0
1629,HUON,3695,0
1630,DIXONS CREEK,3775,0
1631,CROSS ROADS,3373,0
1632,WOODSTOCK ON LODDON,3551,0
1633,BUDGEREE,3870,0
1634,LANGI KAL KAL,3352,0
1635,PIER MILAN,3533,0
1636,COBUNGRA,3898,0
1637,TELANGATUK EAST,3401,0
1638,KINGLAKE WEST,3757,0
1639,DADSWELLS BRIDGE,3385,0
1640,DARGO,3862,0
1641,KERANG EAST,3579,0
1642,MILLBROOK,3352,1
1643,ARCHDALE,3475,0
1644,RICH AVON,3480,0
1645,BOOKAAR,3260,0
1646,GIFFARD,3850,0
1647,ROSSBRIDGE,3377,0
1648,NINE MILE,3518,0
1649,SEASPRAY,3851,0
1650,TONGALA,3621,0
1651,YAMBUNA,3621,0
1652,UPOTIPOTPON,3669,0
1653,GOOMALIBEE,3673,0
1654,GOORAMBAT,3725,0
1655,MURCHISON NORTH,3610,0
1656,WILLANGIE,3485,3
1657,BOOMAHNOOMOONAH,3728,0
1658,MANORINA,3889,0
1659,MUSKERRY,3557,0
1660,NORTHWOOD,3660,0
1661,COOMBOONA,3629,0
1662,NILMA NORTH,3821,0
1663,KARABEAL,3294,0
1664,GRE GRE NORTH,3477,0
1665,PIGEON PONDS,3407,0
1666,LYSTERFIELD,3156,0
1667,FERNTREE GULLY,3156,0
1668,HODDLES CREEK,3139,0
1669,CODRINGTON,3285,0
1670,MOONAMBEL,3478,0
1671,WARRNAMBOOL,3280,0
1672,TYNONG NORTH,3813,0
1673,COSGROVE,3631,0
1674,BAGSHOT,3551,0
1675,GREDGWIN,3537,0
1676,TURRIFF EAST,3488,0
1677,YINNAR SOUTH,3869,0
1678,CRESWICK,3363,0
1679,CARAPOOEE WEST,3477,0
1680,JACK RIVER,3971,0
1681,ARNOLD,3551,0
1682,TYRRELL DOWNS,3533,0
1683,KOONWARRA,3954,0
1684,DUMBALK,3956,0
1685,YARRAWONGA SOUTH,3730,0
1686,PAINSWICK,3551,0
1687,WESBURN,3799,0
1688,UPPER LURG,3673,0
1689,NAVARRE,3384,0
1690,TOOLAMBA,3614,0
1691,MILLTOWN,3304,0
1692,WINNINDOO,3858,0
1693,LOCKSLEY,3665,0
1694,TALLYGAROOPNA,3634,0
1695,BALLANGEICH,3279,0
1696,ELPHINSTONE,3448,0
1697,WALLALOO,3381,0
1698,PURA PURA,3271,0
1699,CORNISHTOWN,3683,0
1700,LODDON VALE,3575,0
1701,GLENGARRY NORTH,3854,0
1702,MALDON,3463,0
1703,COSTERFIELD,3523,0
1704,WOODFIELD,3715,0
1705,BOOLA,3825,0
1706,FENTONS CREEK,3518,0
1707,MOUNT ECCLES,3953,0
1708,ARAWATA,3951,0
1709,LEONGATHA NORTH,3953,0
1710,WONTHAGGI,3995,0
1711,WINSLOW,3281,0
1712,LOCKWOOD,3551,0
1713,ASHBURTON,3147,0
1714,TUERONG,3915,0
1715,FRANKSTON NORTH,3200,0
1716,GRETA WEST,3675,0
1717,ALLAMBEE RESERVE,3871,0
1718,LANDSBOROUGH WEST,3384,0
1719,GIFFARD WEST,3851,10
1720,GARIBALDI,3352,0
1721,WARRAGUL,3820,0
1722,MOUNT BEAUTY,3699,0
1723,MOLIAGUL,3472,0
